ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Fritz T.,Anderson K.,34,122,1335,445,4,6,6,7,7,6,6,2,6,2,3,2,Completed,1.8,2,1.86,2.05,1.86,2.15,1.8,2.02
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Nadal R.,Delbonis F.,1,76,10235,711,6,3,7,6,6,1,,,,,3,0,Completed,29,0.967,1.01,29.89,1.02,35,1.01,21.52
4,Melbourne,Australian Open,24/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Schwartzman D.,Lajovic D.,14,27,2130,1516,6,2,6,3,7,6,,,,,3,0,Completed,1.36,3.2,1.37,3.39,1.44,3.54,1.36,3.16
4,Melbourne,Australian Open,24/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Fucsovics M.,Paul T.,67,80,827,696,6,1,6,1,6,4,,,,,3,0,Completed,1.72,2.1,1.78,2.17,1.78,2.2,1.73,2.12
4,Melbourne,Australian Open,24/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Cilic M.,Bautista Agut R.,39,9,1205,2630,6,7,6,4,6,0,5,7,6,3,3,2,Completed,3.2,1.36,3.56,1.34,3.56,1.4,3.28,1.34
4,Melbourne,Australian Open,24/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Djokovic N.,Nishioka Y.,2,71,9720,797,6,3,6,2,6,2,,,,,3,0,Completed,1.01,23,1.01,27.33,1.02,35,1.01,19.65
4,Melbourne,Australian Open,24/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Sandgren T.,Querrey S.,100,45,573,1100,6,4,6,4,6,4,,,,,3,0,Completed,2.37,1.57,2.77,1.51,2.77,1.62,2.47,1.55
4,Melbourne,Australian Open,24/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Raonic M.,Tsitsipas S.,35,6,1305,5375,7,5,6,4,7,6,,,,,3,0,Completed,3.2,1.36,3.22,1.4,3.36,1.4,3.16,1.36
4,Melbourne,Australian Open,24/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Fognini F.,Pella G.,12,25,2310,1585,7,6,6,2,6,3,,,,,3,0,Completed,2.1,1.72,2.13,1.8,2.28,1.8,2.13,1.72
4,Melbourne,Australian Open,24/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Federer R.,Millman J.,3,47,6590,1096,4,6,7,6,6,4,4,6,7,6,3,2,Completed,1.04,13,1.07,11.39,1.07,13,1.05,10.53
4,Melbourne,Australian Open,25/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Monfils G.,Gulbis E.,10,256,2565,179,7,6,6,4,6,3,,,,,3,0,Completed,1.53,2.5,1.44,3.01,1.56,3.03,1.48,2.67
